filename,width,height
0490,1462,2478
0491,1414,2442
0492,1398,2398
0493,1414,2182
0494,1687,2747
0495,1414,2458
0496,1394,2222
0497,1454,2450
0498,1446,2434
0499,1414,2559
0500,1454,2478
0501,1470,2602
0502,1394,2370
0503,1422,2450
0504,1390,2382
0505,1422,2450
0506,1422,2418
0507,1418,2470
0508,1622,2604
0509,1446,2490
0510,1458,2486
0511,1450,2478
0512,1458,2474
0513,1386,2374
0514,1422,2430
0515,1422,2434
0516,1386,2298
0517,1458,2598
0518,1637,2659
0519,1402,2526
0520,1402,2557
0521,1458,2558
0522,1414,2410
0523,1466,2474
0524,1394,2418
0525,1637,2659
0526,1410,2502
0527,1418,2569
0528,1390,2282
0529,1386,2410
0530,1446,2554
0531,1442,2659
0532,520,840
0533,1450,2609
0534,1414,2525
0535,1418,2422
0536,1390,2374
0537,1422,2482
0538,1410,2563
0539,1410,2406
0540,1466,2474
0541,1394,2382
0542,1366,2386
0543,1655,2659
0544,1442,2553
0545,1615,2604
0546,1607,2604
0547,1422,2438
0548,1701,2747
0549,1702,2747
0550,1422,2406
0551,1410,2418
0552,1612,2604
0553,1712,2747
0554,1712,2747
0555,1382,2454
0556,1390,2390
0557,1603,2604
0558,1613,2604
0559,1466,2502
0560,1382,2374
0561,1470,2550
0562,1462,2498
0563,1647,2659
0564,1382,2390
0565,1454,2474
0566,1462,2462
0567,1414,2591
0568,1612,2604
0569,1350,2314
0570,1394,2102
0571,1631,2659
0572,1466,2410
0573,1639,2659
0574,1422,2510
0575,1394,2434
0576,1366,2066
0577,1438,2362
0578,1462,2550
0579,1422,2497
0580,1394,2370
0581,1386,2422
0582,1613,2604
0583,1631,2659
0584,1402,2398
0585,1414,2174
0586,1462,2659
0587,1687,2747
0588,1394,2466
0589,1386,2366
0590,1615,2604
0591,1470,2438
0592,1693,2747
0593,1693,2747
0594,1426,2410
0595,1458,2494
0596,1382,2298
0597,1422,2442
0598,1386,2382
0599,1707,2747
0600,1032,1665
0601,1442,2566
0602,1458,2490
0603,1426,2450
0604,1607,2604
0605,1613,2604
0606,1458,2474
0607,1712,2747
0608,1717,2747
0609,1414,2414
0610,1398,2374
0611,1462,2506
0612,1390,2386
0613,1418,2458
0614,1382,2198
0615,1406,2506
0616,1639,2659
0617,1426,2394
0618,1394,2438
0619,1454,2538
0620,1458,2558
0621,1394,2434
0622,1613,2604
0623,1426,2503
0624,1426,2430
0625,1458,2466
0626,1390,2184
0627,1418,2426
0628,1597,2604
0629,1655,2659
0630,1462,2575
0631,1422,2394
0632,1426,2426
0633,1418,2430
0634,1466,2502
0635,1418,2450
0636,1354,2418
0637,1450,2587
0638,1067,1693
0639,1049,1683
0640,1426,2577
0641,1466,2465
0642,1712,2747
0643,1685,2747
0644,1402,2366
0645,1478,2490
0646,1484,2322
0647,1426,2569
0648,1390,2482
0649,1704,2747
0650,1613,2604
0651,1043,1665
0652,1390,2418
0653,1394,2362
0654,1398,2454
0655,1712,2747
0656,1386,2362
0657,1358,2318
0658,1470,2434
0659,1426,2426
0660,1398,2390
0661,1402,2398
0662,1394,2386
0663,1470,2518
0664,1386,2294
0665,1637,2659
0666,1021,1664
0667,1442,2530
0668,1458,2574
0669,1612,2604
0670,1394,2382
0671,1410,2410
0672,1707,2747
0673,1422,2430
0674,1394,2378
0675,1707,2747
0676,1450,2539
0677,1342,2338
0678,1390,2526
0679,1410,2434
0680,1334,2318
0681,1406,2426
0682,1362,2382
0683,1414,2471
0684,1466,2590
0685,1631,2659
0686,1398,2318
0687,1462,2651
0688,1032,1672
0689,1027,1638
0690,1378,2410
0691,1605,2604
0692,1358,2322
0693,1438,2478
0694,1378,2362
0695,1414,2442
0696,1466,2414
0697,1719,2747
0698,1620,2604
0699,1458,2586
0700,1394,2374
0701,1454,2482
0702,1386,2354
0703,1406,2438
0704,1446,2374
0705,1712,2747
0706,1454,2446
0708,1390,2386
0709,1442,2517
0710,1752,2747
